mode,meas,n,r,target_dim,samples,percent_recovered,avg # iters,avg time,intermediate dimension
TWOSTEP,Gaussian,40,3,2000,100,38.0,796.578947368421,11.475670409780976,200
TWOSTEP,Gaussian,40,3,3000,100,90.0,586.2111111111111,8.612757340187414,200
TWOSTEP,Gaussian,40,3,4000,100,93.0,511.76344086021504,20.354392144017883,200
TWOSTEP,Gaussian,40,3,5000,100,96.0,470.03125,19.572701356063288,200
TWOSTEP,Gaussian,40,3,6000,100,95.0,431.0,18.73034304066218,200
TWOSTEP,Gaussian,40,3,7000,100,98.0,442.9489795918368,19.996241157717662,200
TWOSTEP,Gaussian,40,3,8000,100,95.0,414.3368421052632,19.486865180912183,200
TWOSTEP,Gaussian,40,3,9000,100,97.0,398.64948453608247,19.629000690972106,200
TWOSTEP,Gaussian,40,3,10000,100,100.0,404.17,20.847106718057766,200
TWOSTEP,Gaussian,40,3,1000,100,0.0,1000.0,inf,250
TWOSTEP,Gaussian,40,3,2000,100,53.0,703.7547169811321,10.32494189964502,250
TWOSTEP,Gaussian,40,3,3000,100,100.0,435.37,6.805050163557753,250
TWOSTEP,Gaussian,40,3,4000,100,100.0,362.72,17.669236961118877,250
TWOSTEP,Gaussian,40,3,5000,100,100.0,314.06,16.612271356945858,250
TWOSTEP,Gaussian,40,3,6000,100,100.0,297.69,17.03306908527389,250
TWOSTEP,Gaussian,40,3,7000,100,100.0,276.37,16.82753218459897,250
TWOSTEP,Gaussian,40,3,8000,100,100.0,272.86,17.75031421886757,250
TWOSTEP,Gaussian,40,3,9000,100,99.0,276.6868686868687,19.044019198995272,250
TWOSTEP,Gaussian,40,3,10000,100,100.0,267.17,19.58486185222864,250
TWOSTEP,Gaussian,40,3,1000,100,0.0,1000.0,inf,300
TWOSTEP,Gaussian,40,3,2000,100,49.0,628.3265306122449,9.798333274542678,300
TWOSTEP,Gaussian,40,3,3000,100,99.0,360.4949494949495,5.7182109421589455,300
TWOSTEP,Gaussian,40,3,4000,100,100.0,280.03,19.324739212114363,300
TWOSTEP,Gaussian,40,3,5000,100,100.0,249.66,18.670619061198085,300
TWOSTEP,Gaussian,40,3,6000,100,100.0,238.14,19.491689445693044,300
TWOSTEP,Gaussian,40,3,7000,100,100.0,230.21,20.27394699286669,300
TWOSTEP,Gaussian,40,3,8000,100,100.0,221.95,21.11771543068811,300
TWOSTEP,Gaussian,40,3,9000,100,100.0,218.48,22.38404583932832,300
TWOSTEP,Gaussian,40,3,10000,100,100.0,213.17,23.28871276160702,300
TWOSTEP,Gaussian,40,5,4000,100,0.0,1000.0,inf,200
TWOSTEP,Gaussian,40,5,5000,100,0.0,1000.0,inf,200
TWOSTEP,Gaussian,40,5,6000,100,11.0,898.0,21.76381528919393,200
TWOSTEP,Gaussian,40,5,7000,100,45.0,812.3333333333334,16.331485792332224,200
TWOSTEP,Gaussian,40,5,8000,100,62.0,748.6774193548387,20.57110127512245,200
TWOSTEP,Gaussian,40,5,9000,100,72.0,735.5555555555555,17.708987476200694,200
TWOSTEP,Gaussian,40,5,10000,100,85.0,704.1764705882352,18.70862272815669,200
TWOSTEP,Gaussian,40,5,4000,100,0.0,1000.0,inf,250
TWOSTEP,Gaussian,40,5,5000,100,3.0,878.0,47.02125971298665,250
TWOSTEP,Gaussian,40,5,6000,100,61.0,832.8360655737705,48.28955619588311,250
TWOSTEP,Gaussian,40,5,7000,100,86.0,682.7093023255813,42.04178742564088,250
TWOSTEP,Gaussian,40,5,8000,100,98.0,602.1632653061224,39.60494065614493,250
TWOSTEP,Gaussian,40,5,9000,100,98.0,551.0102040816327,38.32088268935034,250
TWOSTEP,Gaussian,40,5,10000,100,99.0,524.979797979798,36.16332317777731,250
TWOSTEP,Gaussian,40,5,4000,100,0.0,1000.0,inf,300
TWOSTEP,Gaussian,40,5,5000,100,6.0,898.1666666666666,50.72501164007311,300
TWOSTEP,Gaussian,40,5,6000,100,69.0,735.8115942028985,45.02747025599946,300
TWOSTEP,Gaussian,40,5,7000,100,97.0,590.680412371134,38.68061828216749,300
TWOSTEP,Gaussian,40,5,8000,100,100.0,468.37,32.94416106630117,300
TWOSTEP,Gaussian,40,5,9000,100,100.0,412.55,30.90271515593864,300
TWOSTEP,Gaussian,40,5,10000,100,100.0,382.4,30.83433489525225,300
VEC,Gaussian,40,3,1000,100,0.0,1000.0,inf,1
VEC,Gaussian,40,3,2000,100,13.0,542.7692307692307,34.24409755299656,1
VEC,Gaussian,40,3,3000,100,78.0,281.65384615384613,25.14424376378212,1
VEC,Gaussian,40,3,4000,100,95.0,206.67368421052632,13.389632709438324,1
VEC,Gaussian,40,3,5000,100,95.0,149.25263157894736,12.27402577430353,1
VEC,Gaussian,40,3,6000,100,100.0,125.73,11.516488385078846,1
VEC,Gaussian,40,3,7000,100,99.0,109.12121212121212,6.59240263781682,1
VEC,Gaussian,40,3,8000,100,100.0,104.28,7.042551719683688,1
VEC,Gaussian,40,3,9000,100,100.0,96.13,7.249904394500191,1
VEC,Gaussian,40,3,10000,100,100.0,89.25,7.310038096780191,1
VEC,Gaussian,40,5,4000,100,0.0,1000.0,inf,1
VEC,Gaussian,40,5,5000,100,0.0,1000.0,inf,1
VEC,Gaussian,40,5,6000,100,20.0,712.75,66.37128134104714,1
VEC,Gaussian,40,5,7000,100,62.0,576.1612903225806,35.98057206177656,1
VEC,Gaussian,40,5,8000,100,86.0,418.98837209302326,28.79774013438484,1
VEC,Gaussian,40,5,9000,100,97.0,320.0103092783505,24.7694226061096,1
VEC,Gaussian,40,5,10000,100,99.0,264.92929292929296,21.800729495205097,1
