,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,8,1,TWOSTEP,784,99.0,416.6969696969697,5.237518392352745,56
1,8,1,TWOSTEP,676,97.0,429.9484536082474,5.109396104191997,56
2,8,1,TWOSTEP,576,98.0,449.5612244897959,5.801149293856353,56
3,8,1,TWOSTEP,484,98.0,471.9795918367347,5.283613552871559,56
4,8,1,TWOSTEP,400,98.0,482.40816326530614,6.218266451256159,56
5,8,1,TWOSTEP,324,92.0,497.5326086956522,5.503114431732051,56
6,8,1,TWOSTEP,256,50.0,643.34,4.7865378168970345,56
7,8,1,TWOSTEP,196,71.0,578.2112676056338,4.205579744678148,56
