,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,7,2,VEC,784,100.0,123.87,3.9727254575118423,NA
1,7,2,VEC,676,100.0,127.77,3.31064012831077,NA
2,7,2,VEC,576,99.0,145.11111111111111,4.004517598679722,NA
3,7,2,VEC,484,97.0,153.71134020618555,4.074803774792356,NA
4,7,2,VEC,400,100.0,206.68,5.294175187312066,NA
5,7,2,VEC,324,93.0,241.81720430107526,6.225750793672858,NA
6,7,2,VEC,256,76.0,337.88157894736844,8.511596167778695,NA
7,7,2,VEC,196,50.0,453.9,10.730847390815615,NA
