,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,8,2,TWOSTEP,484,99.0,372.32323232323233,5.274796085695576,64
1,8,2,TWOSTEP,484,99.0,370.27272727272725,5.241335335140578,62
2,8,2,TWOSTEP,484,99.0,342.5050505050505,4.794770217679366,60
3,8,2,TWOSTEP,484,97.0,423.82474226804123,5.902463968036716,58
4,8,2,TWOSTEP,484,97.0,378.91752577319585,5.281358013428824,56
5,8,2,TWOSTEP,484,97.0,423.62886597938143,5.835992145496085,54
6,8,2,TWOSTEP,484,98.0,440.42857142857144,6.087525963118034,52
7,8,2,TWOSTEP,484,99.0,467.8888888888889,6.443502935101137,50
8,8,2,TWOSTEP,484,95.0,475.93684210526317,8.51194353840853,48
9,8,2,TWOSTEP,484,94.0,467.0,6.661588140565189,46
