,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,8,1,VEC,784,6.0,571.0,4.691229112164971,NA
1,8,2,VEC,784,100.0,282.86,3.683622954330058,NA
2,8,1,VEC,676,5.0,541.6,4.2503194751974664,NA
3,8,2,VEC,676,97.0,266.9072164948454,3.426370837979232,NA
4,8,1,VEC,576,5.0,600.8,4.5129022855951915,NA
5,8,2,VEC,576,90.0,368.2111111111111,4.4561034309868575,NA
6,8,1,VEC,484,7.0,618.7142857142857,4.4137828065722715,NA
7,8,2,VEC,484,78.0,460.84615384615387,5.2971772063972775,NA
8,8,1,VEC,400,3.0,526.6666666666666,3.5744965836638585,NA
9,8,2,VEC,400,60.0,560.8833333333333,6.263162894100242,NA
10,8,1,VEC,324,11.0,593.0,3.8038296437298413,NA
11,8,2,VEC,324,34.0,670.9411764705883,7.401157353356693,NA
12,8,1,VEC,256,12.0,580.0,3.571095530668875,NA
13,8,2,VEC,256,13.0,632.7692307692307,6.712098641923289,NA
14,8,1,VEC,196,9.0,628.8888888888889,3.767820743336213,NA
15,8,2,VEC,196,0.0,1000.0,inf,NA
