,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,6,2,VEC,900,100.0,89.7,0.8298287545698986,NA
1,6,3,VEC,900,100.0,115.4,1.1039760398001817,NA
2,6,2,VEC,784,100.0,97.73,0.8942785986304806,NA
3,6,3,VEC,784,100.0,136.71,1.2948446339092334,NA
4,6,2,VEC,676,100.0,108.31,0.9847562851409021,NA
5,6,3,VEC,676,100.0,163.46,1.5291712006491434,NA
6,6,2,VEC,576,100.0,135.14,1.208410162540531,NA
7,6,3,VEC,576,100.0,208.94,1.924385135170014,NA
8,6,2,VEC,484,100.0,169.6,1.4751937910792186,NA
9,6,3,VEC,484,100.0,289.02,2.5430078731200774,NA
10,6,2,VEC,400,99.0,205.54545454545453,1.7336893012215657,NA
11,6,3,VEC,400,99.0,435.73737373737373,3.802011902211822,NA
12,6,2,VEC,324,97.0,300.70103092783506,2.556278155618389,NA
13,6,3,VEC,324,78.0,631.2435897435897,5.431590609717368,NA
14,6,2,VEC,256,94.0,369.86170212765956,3.110767843956289,NA
15,6,3,VEC,256,10.0,837.0,7.207507975798217,NA
16,6,2,VEC,196,56.0,571.0178571428571,4.883580528035184,NA
17,6,3,VEC,196,0.0,1000.0,inf,NA
18,6,2,VEC,144,7.0,736.8571428571429,6.163264172004086,NA
