"n=5,r=2,d=4",,,,,,,,,,,
,,,,,,,,,,,
,,VECTORIZED,,,MODEWISE,,,TWOSTEP,,,
Compressed Dimension,percent_recovered,avg # iters,avg time,percent_recovered,avg # iters,avg time,avg # iters,percent_recovered,avg # iters,avg time,Intermediate Dimension
400,100,125.85,2.127742158,100,240.57,2.831890084,400,100,204.3,3.456808867,484
324,100,195.59,3.152831001,97,441.2989691,4.968382096,324,100,172.23,3.055383513,484
256,100,233.43,3.843941115,66,656.7878788,7.427325277,256,100,230.04,3.864062838,484
196,96,404.15625,6.656916302,10,787.8,7.816726015,196,100,281.43,6.073356694,484
,,,,,,,,,,,
"Note, 400, 324, 256,196=20^2,18^2,16^2,14^2",,,,,,,,,,,
