,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,8,2,VEC,784,99.0,143.63636363636363,3.260657662864436,NA
1,8,2,VEC,676,99.0,169.12121212121212,3.759242085890487,NA
2,8,2,VEC,576,98.0,185.66326530612244,4.378223454940836,NA
3,8,2,VEC,484,96.0,219.41666666666666,4.903013439305748,NA
4,8,2,VEC,400,90.0,285.8333333333333,6.491594789135787,NA
5,8,2,VEC,324,77.0,342.68831168831167,6.685078962863265,NA
6,8,2,VEC,256,50.0,473.26,9.926214346885681,NA
7,8,2,VEC,196,15.0,514.5333333333333,7.448220399642984,NA
