,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,5,1,VEC,400,93.0,443.44086021505376,2.020211904332535,NA
1,5,2,VEC,400,100.0,125.85,1.011013731769781,NA
2,5,1,VEC,324,74.0,213.3918918918919,0.9721698082165047,NA
3,5,2,VEC,324,100.0,195.59,1.563961405368609,NA
4,5,1,VEC,256,77.0,293.42857142857144,1.3213364863892951,NA
5,5,2,VEC,256,100.0,233.43,1.8662596870398556,NA
6,5,1,VEC,196,62.0,305.85483870967744,1.3752159974519014,NA
7,5,2,VEC,196,96.0,404.15625,3.233183263572755,NA
8,5,1,VEC,144,18.0,548.5555555555555,2.4513902080571928,NA
9,5,2,VEC,144,67.0,533.7910447761194,4.179475627298321,NA
10,5,1,VEC,100,12.0,564.9166666666666,2.484108110830372,NA
11,5,2,VEC,100,9.0,728.1111111111111,5.712190268664724,NA
12,5,1,VEC,64,18.0,668.0555555555555,2.9043712551105676,NA
13,5,2,VEC,64,0.0,1000.0,inf,NA
14,5,1,VEC,36,1.0,772.0,3.3878154100093525,NA
15,5,2,VEC,36,0.0,1000.0,inf,NA
