,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,7,1,TWOSTEP,1600,100.0,257.34,20.5533323122561,43
1,7,1,TWOSTEP,1444,100.0,255.81,20.519911045208573,43
2,7,1,TWOSTEP,1296,100.0,255.76,17.268708886019887,43
3,7,1,TWOSTEP,1156,100.0,256.57,14.601052437629551,43
4,7,1,TWOSTEP,1024,100.0,256.55,12.817645174283534,43
5,7,1,TWOSTEP,900,100.0,259.73,12.202714191190898,43
6,7,1,TWOSTEP,784,100.0,234.65,10.556010027080774,43
7,7,1,TWOSTEP,676,100.0,238.75,9.177712507043033,43
8,7,1,TWOSTEP,576,100.0,248.7,8.413216166198254,43
9,7,1,TWOSTEP,484,98.0,245.28571428571428,9.16271320812176,43
10,7,1,TWOSTEP,400,98.0,293.4183673469388,11.005475690702395,43
11,7,1,TWOSTEP,324,97.0,213.55670103092783,6.577718938480026,43
12,7,1,TWOSTEP,256,93.0,258.9032258064516,8.446738883232078,43
13,7,1,TWOSTEP,196,90.0,417.81111111111113,12.524623774737119,43
