,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,5,2,TWOSTEP,324,98.0,504.0408163265306,14.174100246546525,25
1,5,2,TWOSTEP,324,91.0,638.2417582417582,16.558242127503995,24
2,5,2,TWOSTEP,324,92.0,579.4130434782609,13.766935617703458,23
3,5,2,TWOSTEP,324,76.0,660.2763157894736,15.392714667060462,22
4,5,2,TWOSTEP,324,79.0,657.7721518987341,16.73164067311283,21
5,5,2,TWOSTEP,324,48.0,754.5625,19.052316356062267,20
6,5,2,TWOSTEP,324,69.0,699.536231884058,17.427812801161107,19
7,5,2,TWOSTEP,324,51.0,782.4509803921569,19.921412343816723,18
