,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,7,1,VEC,1600,89.0,167.4494382022472,1.1986823503593156,NA
1,7,1,VEC,1444,99.0,150.74747474747474,1.0387170792218048,NA
2,7,1,VEC,1296,83.0,316.32530120481925,2.104482120264487,NA
3,7,1,VEC,1156,43.0,368.6744186046512,2.382059767605401,NA
4,7,1,VEC,1024,33.0,488.27272727272725,3.040903761362036,NA
5,7,1,VEC,900,28.0,465.92857142857144,2.8004319695371254,NA
6,7,1,VEC,784,28.0,481.5357142857143,2.788566226320524,NA
7,7,1,VEC,676,23.0,579.5217391304348,3.2552544537845636,NA
8,7,1,VEC,576,17.0,589.5882352941177,3.214378648353672,NA
9,7,1,VEC,484,15.0,659.7333333333333,3.51146835880063,NA
10,7,1,VEC,400,13.0,678.3076923076923,3.501964484155626,NA
11,7,1,VEC,324,31.0,427.3225806451613,2.162197773063165,NA
12,7,1,VEC,256,30.0,455.0,2.223915361467031,NA
13,7,1,VEC,196,30.0,488.8666666666667,2.3628253735335116,NA
