,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,7,1,TWOSTEP,1600,98.0,292.1326530612245,4.517050597379554,43
1,7,1,TWOSTEP,1444,97.0,362.9587628865979,6.920903627021411,43
2,7,1,TWOSTEP,1296,98.0,370.3469387755102,6.698667244529542,43
3,7,1,TWOSTEP,1156,98.0,372.5204081632653,7.125652057878977,43
4,7,1,TWOSTEP,1024,97.0,373.49484536082474,6.60516925532486,43
5,7,1,TWOSTEP,900,99.0,367.8181818181818,5.9191876728313435,43
6,7,1,TWOSTEP,784,97.0,364.4639175257732,7.025381204451329,43
7,7,1,TWOSTEP,676,99.0,382.25252525252523,5.409484348645566,43
8,7,1,TWOSTEP,576,99.0,396.1818181818182,5.022275057818853,43
9,7,1,TWOSTEP,484,99.0,398.93939393939394,4.8852814318179485,43
10,7,1,TWOSTEP,400,94.0,398.77659574468083,4.758503295619913,43
11,7,1,TWOSTEP,324,96.0,418.9479166666667,5.045247164710115,43
12,7,1,TWOSTEP,256,92.0,454.2608695652174,5.270631111348453,43
13,7,1,TWOSTEP,196,83.0,478.2409638554217,5.552966316690646,43
