,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,5,2,TWOSTEP,144,79.0,675.2405063291139,7.540645432858905,25
1,5,2,TWOSTEP,144,53.0,722.5471698113207,8.080953154818348,24
2,5,2,TWOSTEP,144,55.0,738.0,8.062398459423672,23
3,5,2,TWOSTEP,144,27.0,769.6666666666666,8.616311650654232,22
4,5,2,TWOSTEP,144,23.0,824.0,9.160335504490396,21
5,5,2,TWOSTEP,144,42.0,764.6666666666666,8.426832760905935,20
6,5,2,TWOSTEP,144,17.0,848.8823529411765,9.511032153907067,19
7,5,2,TWOSTEP,144,13.0,803.3846153846154,9.176248835113187,18
