,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,7,1,VEC,1600,89.0,167.4494382022472,3.715836033099488,NA
1,7,1,VEC,1444,99.0,150.74747474747474,3.6858314340840086,NA
2,7,1,VEC,1296,83.0,316.32530120481925,7.091030124485133,NA
3,7,1,VEC,1156,43.0,368.6744186046512,7.062142247334123,NA
4,7,1,VEC,1024,33.0,488.27272727272725,7.364461104978215,NA
5,7,1,VEC,900,28.0,465.92857142857144,6.771799241192639,NA
6,7,1,VEC,784,28.0,481.5357142857143,7.00617409005229,NA
7,7,1,VEC,676,23.0,579.5217391304348,8.376883754749661,NA
8,7,1,VEC,576,17.0,589.5882352941177,8.115642740665113,NA
9,7,1,VEC,484,15.0,659.7333333333333,8.62320090395709,NA
10,7,1,VEC,400,13.0,678.3076923076923,9.103457198549922,NA
11,7,1,VEC,324,31.0,427.3225806451613,5.41242316737771,NA
12,7,1,VEC,256,30.0,455.0,5.762421997760733,NA
13,7,1,VEC,196,30.0,488.8666666666667,6.313002289955815,NA
