,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,7,1,VEC,1600,99.0,95.13131313131314,1.813125284595622,NA
1,7,1,VEC,1444,99.0,97.63636363636364,1.7231303384584007,NA
2,7,1,VEC,1296,100.0,93.48,1.652294716462493,NA
3,7,1,VEC,1156,97.0,96.37113402061856,1.7885065628695733,NA
4,7,1,VEC,1024,98.0,121.44897959183673,2.348793608269521,NA
5,7,1,VEC,900,95.0,108.2421052631579,1.8051265535189918,NA
6,7,1,VEC,784,96.0,115.60416666666667,1.9680198107186395,NA
7,7,1,VEC,676,92.0,112.29347826086956,2.3244879915298005,NA
8,7,1,VEC,576,90.0,111.04444444444445,2.0099857947271733,NA
9,7,1,VEC,484,92.0,136.09782608695653,2.179264179106964,NA
10,7,1,VEC,400,89.0,138.6629213483146,2.3215230266783347,NA
11,7,1,VEC,324,90.0,151.4111111111111,2.3917686014332706,NA
12,7,1,VEC,256,79.0,165.86075949367088,2.273052503083703,NA
13,7,1,VEC,196,71.0,182.85915492957747,3.191924229316728,NA
