,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,10,2,VEC,1764,97.0,241.08247422680412,5.16871467185778,NA
1,10,2,VEC,1600,93.0,358.4301075268817,7.350464668568669,NA
2,10,2,VEC,1444,86.0,456.83720930232556,8.948444274371912,NA
3,10,2,VEC,1296,88.0,476.7386363636364,8.94392737223858,NA
4,10,2,VEC,1156,93.0,368.23655913978496,6.651123282689256,NA
5,10,2,VEC,1024,93.0,284.5806451612903,4.90587860803021,NA
6,10,2,VEC,900,90.0,268.6111111111111,4.430402432922468,NA
7,10,2,VEC,784,84.0,317.20238095238096,5.01489313260702,NA
8,10,2,VEC,676,65.0,434.81538461538463,6.584936479492955,NA
9,10,2,VEC,576,59.0,430.135593220339,6.252635652135754,NA
10,10,2,VEC,484,41.0,537.439024390244,7.46502243834207,NA
11,10,2,VEC,400,9.0,607.1111111111111,8.115854580226975,NA
