,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,8,3,TWOSTEP,400,35.0,780.9428571428572,20.859349279105665,64
1,8,3,TWOSTEP,400,30.0,829.6,25.463095420971513,62
2,8,3,TWOSTEP,400,26.0,822.5384615384615,25.13048217502924,60
3,8,3,TWOSTEP,400,15.0,846.2,24.26701884356638,58
4,8,3,TWOSTEP,400,19.0,845.0,23.304798442576278,56
5,8,3,TWOSTEP,400,20.0,848.5,17.06978000374511,54
6,8,3,TWOSTEP,400,17.0,857.8823529411765,25.310378702138276,52
7,8,3,TWOSTEP,400,16.0,885.5,26.52963014051784,50
8,8,3,TWOSTEP,400,10.0,891.4,25.547703587263822,48
9,8,3,TWOSTEP,400,6.0,889.5,32.63789196964353,46
