,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,8,1,TWOSTEP,784,99.0,229.72727272727272,13.459522122987593,56
1,8,1,TWOSTEP,676,98.0,210.59183673469389,10.50971594158256,56
2,8,1,TWOSTEP,576,99.0,230.6060606060606,7.475493106915795,56
3,8,1,TWOSTEP,484,98.0,233.39795918367346,6.27967613844239,56
4,8,1,TWOSTEP,400,94.0,279.13829787234044,10.250405417735431,56
5,8,1,TWOSTEP,324,93.0,247.04301075268816,8.167061413307824,56
6,8,1,TWOSTEP,256,80.0,316.1375,10.430714866891503,56
7,8,1,TWOSTEP,196,77.0,353.45454545454544,9.857007346805426,56
