,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,7,2,TWOSTEP,324,97.0,392.1546391752577,6.621501608780518,37
1,7,2,TWOSTEP,324,94.0,508.74468085106383,8.73006735014868,35
2,7,2,TWOSTEP,324,81.0,651.7654320987655,10.996530564639855,33
3,7,2,TWOSTEP,324,82.0,664.0975609756098,11.000617992405484,31
4,7,2,TWOSTEP,324,51.0,743.3333333333334,12.002571109864935,29
5,7,2,TWOSTEP,324,37.0,835.5675675675676,13.447373267665908,27
6,7,2,TWOSTEP,324,16.0,846.75,13.5093257650733,25
7,7,2,TWOSTEP,324,6.0,864.5,13.231745232827961,23
8,7,2,TWOSTEP,324,13.0,849.6153846153846,13.313863213245686,21
