,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,8,1,TWOSTEP,784,99.0,416.6969696969697,5.129961842990885,56
1,8,1,TWOSTEP,676,97.0,429.9484536082474,5.578783793413301,56
2,8,1,TWOSTEP,576,98.0,449.5612244897959,5.511773604576533,56
3,8,1,TWOSTEP,484,98.0,471.9795918367347,6.727053746200946,56
4,8,1,TWOSTEP,400,98.0,482.40816326530614,5.831181120659624,56
5,8,1,TWOSTEP,324,92.0,497.5326086956522,5.494289885011866,56
6,8,1,TWOSTEP,256,50.0,643.34,7.9382151413336395,56
7,8,1,TWOSTEP,196,71.0,578.2112676056338,7.125495483390462,56
