,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,8,1,VEC,784,87.0,113.74712643678161,1.4829093598514453,NA
1,8,1,VEC,676,87.0,141.632183908046,1.812735529616475,NA
2,8,1,VEC,576,87.0,164.75862068965517,1.950737454318281,NA
3,8,1,VEC,484,85.0,137.64705882352942,1.7216823319740155,NA
4,8,1,VEC,400,84.0,197.33333333333334,2.359074696942809,NA
5,8,1,VEC,324,71.0,180.88732394366198,2.0718695006372645,NA
6,8,1,VEC,256,65.0,200.69230769230768,2.2322285624364246,NA
7,8,1,VEC,196,55.0,216.74545454545455,2.5398903496563436,NA
