,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,7,1,VEC,1600,89.0,167.4494382022472,4.216428122347158,NA
1,7,1,VEC,1444,99.0,150.74747474747474,4.099430951129908,NA
2,7,1,VEC,1296,83.0,316.32530120481925,9.830148821606873,NA
3,7,1,VEC,1156,43.0,368.6744186046512,10.213813781348426,NA
4,7,1,VEC,1024,33.0,488.27272727272725,13.434445795405543,NA
5,7,1,VEC,900,28.0,465.92857142857144,12.398412683313447,NA
6,7,1,VEC,784,28.0,481.5357142857143,12.212638230129544,NA
7,7,1,VEC,676,23.0,579.5217391304348,13.785463441163301,NA
8,7,1,VEC,576,17.0,589.5882352941177,11.841590616304208,NA
9,7,1,VEC,484,15.0,659.7333333333333,14.921465889116128,NA
10,7,1,VEC,400,13.0,678.3076923076923,15.70973254353381,NA
11,7,1,VEC,324,31.0,427.3225806451613,8.22818650076947,NA
12,7,1,VEC,256,30.0,455.0,8.819339141311746,NA
13,7,1,VEC,196,30.0,488.8666666666667,8.740492884069681,NA
