,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,7,2,TWOSTEP,324,99.0,432.92929292929296,11.895502168685198,49
1,7,2,TWOSTEP,324,94.0,441.9468085106383,7.474795013368922,47
2,7,2,TWOSTEP,324,91.0,485.0769230769231,6.049038465124565,45
3,7,2,TWOSTEP,324,96.0,480.1041666666667,5.871231945347972,43
4,7,2,TWOSTEP,324,88.0,557.3295454545455,6.851346215360206,41
5,7,2,TWOSTEP,324,87.0,519.9540229885057,6.448216057136312,39
6,7,2,TWOSTEP,324,85.0,639.9529411764706,9.879913308690575,37
7,7,2,TWOSTEP,324,89.0,630.314606741573,7.692348290485947,35
8,7,2,TWOSTEP,324,77.0,607.7272727272727,7.4228039969291,33
9,7,2,TWOSTEP,324,69.0,624.9130434782609,7.545683156995886,31
10,7,2,TWOSTEP,324,64.0,742.078125,9.105332353909034,29
11,7,2,TWOSTEP,324,51.0,717.2549019607843,8.729572445190712,27
12,7,2,TWOSTEP,324,21.0,813.3809523809524,9.867206006266532,25
13,7,2,TWOSTEP,324,8.0,898.625,10.87747803912498,23
14,7,2,TWOSTEP,324,4.0,835.0,10.095812782179564,21
15,7,2,TWOSTEP,324,1.0,709.0,7.297391964122653,19
