,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,6,1,VEC,900,100.0,86.08,0.45146886317888857,NA
1,6,1,VEC,784,100.0,103.02,0.5279760758399789,NA
2,6,1,VEC,676,97.0,167.96907216494844,0.8263119850825271,NA
3,6,1,VEC,576,93.0,189.31182795698925,0.9047491693653614,NA
4,6,1,VEC,484,63.0,370.73015873015873,1.7367337260800433,NA
5,6,1,VEC,400,17.0,547.2352941176471,2.527106131939731,NA
6,6,1,VEC,324,6.0,475.1666666666667,2.163954840665004,NA
7,6,1,VEC,256,6.0,738.6666666666666,3.3029040433345167,NA
8,6,1,VEC,196,7.0,697.7142857142857,3.0878056912853418,NA
9,6,1,VEC,144,6.0,660.5,2.8294910761663536,NA
10,6,1,VEC,100,9.0,693.1111111111111,2.9831671557816057,NA
