,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,7,2,TWOSTEP,784,100.0,355.42,10.30830711312592,43
1,7,2,TWOSTEP,676,99.0,369.1515151515151,9.849285091000676,43
2,7,2,TWOSTEP,576,100.0,365.63,9.98793777346611,43
3,7,2,TWOSTEP,484,98.0,394.0612244897959,9.907941432194594,43
4,7,2,TWOSTEP,400,98.0,425.234693877551,9.949104603379965,43
5,7,2,TWOSTEP,324,96.0,480.1041666666667,10.936496689993268,43
6,7,2,TWOSTEP,256,87.0,557.7816091954023,10.185718133017934,43
7,7,2,TWOSTEP,196,55.0,670.5818181818182,12.564473399994048,43
