,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,5,1,MW,400,96.0,379.34375,2.222680526591527,NA
1,5,1,MW,324,59.0,534.271186440678,3.186746894429296,NA
2,5,1,MW,256,29.0,665.5862068965517,3.8491576091097346,NA
3,5,1,MW,196,10.0,647.5,3.6528063245117663,NA
4,5,1,MW,144,1.0,954.0,5.705194065347314,NA
