,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,5,2,TWOSTEP,196,93.0,576.1290322580645,9.727272071585219,25
1,5,2,TWOSTEP,196,87.0,611.5057471264367,10.284925529133828,24
2,5,2,TWOSTEP,196,80.0,685.6125,11.257134448061697,23
3,5,2,TWOSTEP,196,62.0,751.7096774193549,12.83344081888396,22
4,5,2,TWOSTEP,196,50.0,799.86,13.599890413843095,21
5,5,2,TWOSTEP,196,66.0,716.7424242424242,11.956097996003475,20
6,5,2,TWOSTEP,196,27.0,797.4814814814815,13.346928214930275,19
7,5,2,TWOSTEP,196,14.0,765.4285714285714,13.205536669120193,18
