,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,8,2,TWOSTEP,400,90.0,625.3666666666667,20.51061370631473,44
1,8,2,TWOSTEP,400,88.0,576.4318181818181,18.397371893663976,42
2,8,2,TWOSTEP,400,68.0,710.6470588235294,22.460696473690298,40
3,8,2,TWOSTEP,400,62.0,698.3709677419355,21.661948951622172,38
4,8,2,TWOSTEP,400,69.0,735.0579710144928,22.242492406507548,36
5,8,2,TWOSTEP,400,54.0,761.8148148148148,22.614408645882374,34
6,8,2,TWOSTEP,400,43.0,787.3023255813954,23.276945465222695,32
7,8,2,TWOSTEP,400,4.0,844.0,24.673572421073914,30
8,8,2,TWOSTEP,400,13.0,864.3846153846154,25.5913732719536,28
